240*40,Commodity,,,S&P500 (US),,,,,,,,,,,,,Mexican Bolsa (Mexico),,,Brazil Bovespa (Brazil),,,FTSE 100 (UK),,,DAX (Germany) ,,,CAC 40 (France),,,Nikkei (Japan),,,Hang Seng (Hongkong),,,Shanghai Composite,,,,
,GOLD,CRUDE OIL,CORN,3M,APPLE,COF,SCHW,COCA COLA,BAC,CSX,DTE,EXELON,NUE,TXT,DIS,XEL,GRUPO MEXICO 'B',AFLAA,FEMSAUBD,USIM5.SA,BBAS3.SA,TRPL4.SA,TESCO,BP,BT GROUP,BMW,ALLIANZ,SIEMENS,TELEPERFORMANCE,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,LVMH,SONY GROUP,TOYOTA MOTOR,FUJITA ENGINEERING,HSBC HOLDINGS,CK HUTCHISON HOLDINGS,HANG SENG BANK,Shanghai Airport,SPDB,HISENSE,,
03/03/2003,0.943623797,1.092212447,0.991416309,0.998159853,0.999236058,0.887806411,0.83171521,0.976587796,0.979294588,0.961106235,0.981411765,0.960233918,1.033158813,0.93285124,0.962748287,0.996389892,1.032786885,1,0.985282093,1.044303797,1.006289308,1.038461538,0.946122449,1.036848793,0.927659574,0.949458484,0.914628399,1.008085342,0.82505843,1.051592777,0.993205634,0.939583333,0.964467005,1.020887728,1.033432441,0.972557031,1.036144578,1.033647376,0.961538462,1.031446541,,
03/04/2003,0.935229068,0.789976134,1.017316017,1.072859891,0.987003058,1.176283186,1.027237354,1.050752359,1.008894721,1.085011136,0.935507073,1.007917174,0.945945946,0.823366556,1.050595418,1.169384058,0.984126984,0.967213115,0.980082988,1.254545455,1.153125,1.088888889,1.133859238,0.99754902,1.058103976,1.053231939,0.720743929,1.058674636,0.833841476,1.067865344,0.930852379,0.922394678,0.928070175,0.907928389,0.964708139,0.862904355,0.915697674,1.052083333,1.106666667,0.926829268,,
03/05/2003,1.043458231,0.890861027,0.978723404,0.942472917,0.999225407,1.287992778,1.15530303,0.995145631,1.082670906,1.095100273,0.99333675,1.084994965,1.070663265,1.030262273,1.070254317,1.082106894,0.983870968,1.127118644,1.081287045,1.164251208,1.154471545,1.088435374,1.074627677,0.995700246,1.054913295,1.070397112,1.478150582,1.127178453,1.24165795,1.026034041,1.058502239,0.6875,1.013232514,1.090140845,1.042680098,1.018703343,0.99047619,0.998762376,1.180722892,1.128289474,,
03/06/2003,1.073583517,1.188215345,1.02173913,1.000237812,1.198062016,1.16682243,1.084153005,1.124634146,1.010679482,1.014676664,1.124097007,1.093558567,1.153919466,1.192558747,1.046059832,1.103793844,1.245901639,1.045112782,1.104150352,0.987551867,1.295774648,1.10625,1.088361742,1.062924121,1.073972603,0.987858347,1.040561622,0.912854587,0.900503934,0.994776238,1.141389766,1.164335664,1.074626866,0.997416021,1.090650226,1.123820144,1.067307692,0.997521685,1.017006803,1.075801749,,
03/07/2003,0.960657985,1.0117731,0.953191489,1.01743541,1.105143966,0.98618342,1.083669355,1.002602472,1.056795668,0.937505773,0.889143906,1.013919538,1.020854842,1.059660646,1.015684223,0.964980545,1.006578947,1.136690647,1.017730496,1.201680672,0.822463768,0.97740113,1.001161818,0.95240859,0.994897959,1.152270399,1.076011994,1.057530795,0.9854861,0.98049374,0.98220645,1.117117117,1.142361111,0.984455959,0.991957667,0.953079595,0.990990991,1.034782609,0.913043478,0.926829268,,
03/08/2003,1.009988584,1.067348378,0.897321429,1.082801059,1.083723653,0.959390863,0.931162791,0.967986156,1.00912386,1.01444335,0.904233351,0.962163067,0.991504854,1.114669421,1.122076847,0.962365591,0.993464052,1.037974684,0.93728223,1.115384615,1.015418502,1.023121387,0.979157963,1.017672151,0.996153846,1.014814815,1.281872649,1.149305096,1.144846627,1.032901397,1.126806183,1.008064516,0.924012158,1.007894737,1.045942707,1.118836915,1.021212121,1.091236495,0.934065934,1.076023392,,
03/09/2003,1.051850805,0.92765114,1.169154229,1.025897417,1.106969206,1.146031746,1.133866134,0.976759777,0.966063909,1.056989686,1.016842706,1.049243083,1.043451652,1.054911956,0.94671161,1.036312849,0.980263158,1.256097561,1.020074349,1.253918495,1.273318872,1.248587571,1.04854461,1.074251497,0.93951094,1.121167883,0.933695652,1.164159853,1.177262665,1.008147509,1.150793812,1.066666667,1.101973684,0.971279373,1.049103532,1.215320705,1.044510386,0.96259626,0.921568627,0.948369565,,
03/10/2003,1.02820685,1.046652422,0.876595745,1.024191852,0.945095168,1.102493075,1.125110132,1.00754976,1.019871795,0.914548762,1.058394161,1.063349917,0.946627566,0.896112453,0.998127065,1.058625337,1.167785235,0.995145631,1.022594752,1.1625,0.977853492,1.108597285,1.094764445,0.955964326,1.01369863,0.90234375,0.920838184,0.944620316,0.8986042,0.938282059,0.979664236,0.995,1.014925373,1.080645161,1.05418313,1.027536985,1.105113636,0.926857143,0.923404255,0.899713467,,
03/11/2003,0.988242978,0.9428377,1.101941748,1.078871697,1.06738962,1.033165829,1.05559906,1.059945504,0.955248272,1.099121908,0.980106101,1.014504055,1.109665428,1.239705882,1.077067786,1.042011458,1.172413793,1.204878049,0.957234498,1.141935484,1.12543554,1.224489796,0.977327166,0.970845481,1.005405405,1.027417027,1.210493047,1.098904551,1.149325107,1.018790735,1.10018026,0.962311558,0.920588235,0.957711443,1.112151716,0.992362146,1.002570694,1.062885327,0.995391705,0.891719745,,
03/12/2003,1.066093853,1.058101768,1.057268722,1.027922325,0.908321239,0.978437095,0.846439169,1.015424165,0.992893802,1.032906764,1.01217862,0.959415834,0.965010236,1.010083037,0.953314791,1.039095907,1.142156863,1.060728745,0.982874162,1.173258004,1.273993808,1.08,1.054848933,0.98978979,0.946236559,1.025280899,0.996344648,1.085847708,1.025865953,1.048426571,0.974569359,0.971279373,1.079872204,0.945454545,0.995798626,0.945935799,1.035897436,1.049883991,1.009259259,1.060714286,,
03/01/2004,1.030378177,1.011937244,1.0125,1.029386344,1.011984021,0.998011599,1.023663453,1.062236287,1.04824387,1.05840708,1.055882353,1.057522833,1.081002893,1.119397142,1.083295067,0.997648442,1.291845494,0.988549618,1.035606061,1.1894061,0.958687728,1.043209877,1.025998478,1.103762136,1.078125,1.021917808,1.058176101,0.98386842,0.97135242,1.030791087,0.977271921,0.997311828,1.071005917,1.03021978,1.046410096,1.024494656,1.014851485,1.09281768,1.096330275,0.919191919,,
03/02/2004,0.969915764,1.006403775,1.065843621,0.946383591,1.046052632,1.191266811,1.047945205,0.989672294,1.030598053,0.876538462,0.985819195,1.011818182,0.983050847,0.934429096,0.982676309,1.028285209,1.23255814,1.212355212,1.160936357,0.928475034,0.946768061,0.931952663,0.949320631,0.935129192,0.93544137,0.932975871,1.021297672,1.01015165,1.060761894,0.958747833,0.981051758,1.132075472,0.977900552,1.058666667,0.963712222,1.143426405,1.009756098,1.050556117,1.129707113,1.186813187,,
03/03/2004,0.962655087,1.112860013,1.088803089,1.000633714,1.074465409,0.993728223,0.987745098,0.98615292,1.013617961,0.972337219,1.034420755,1.005390836,1.173321234,1.050523952,1.145747189,1.016045845,1.180592992,1.060509554,1.11405167,1.168604651,1.033467202,1.092063492,1.047256725,1.046443269,1.011267606,1.027298851,0.964112512,0.984545824,1.099000817,1.066765034,1.087795592,1.085714286,1.093220339,1.007556675,1.025102776,1.003484995,0.990338164,1.028873917,0.907407407,0.987654321,,
03/04/2004,1.088671221,0.929581703,1.109929078,1.035845472,1.149847811,1.051753156,0.986765922,1.036426536,0.974461389,0.994113838,1.026074,1.026809651,0.959010054,0.95920912,0.973733348,1.011280316,0.988584475,1.057057057,1.069004525,1.130597015,1.025906736,0.834302326,0.97058477,1.041011236,1,0.969230769,0.942655936,0.984321183,0.922569386,1.002784126,0.974173846,0.949561404,0.976744186,1.075,0.959186571,0.930542157,0.973170732,1.183348924,1.032653061,1.09375,,
03/05/2004,0.918077424,1.155066365,0.984025559,1.064196625,0.947872124,0.875050007,0.872590109,0.993913214,1.005837784,1.02467089,0.951355276,0.967362924,0.956612903,1.032311978,0.891329818,0.944227552,0.826789838,0.889204545,0.882010582,0.700770077,0.791666667,0.87804878,1.005057862,1.052347545,0.994428969,1.054834055,0.941302028,0.971314015,0.939662671,1.023575691,0.975143917,0.986143187,1.055555556,0.976744186,0.965950716,0.891794526,0.994987469,0.954150198,0.865612648,1,,
03/06/2004,1.001289491,1.026345291,0.974025974,0.974031943,1.089366273,1.0409936,0.882804995,1.022718293,1.025314893,1.015717395,1.009666751,0.98005698,1.075535323,1,1.03631504,0.986414649,0.974860335,0.936102236,0.977804439,1.018838305,1.094098884,1.031746032,1.026128266,1.003076923,1.023809524,0.94254446,0.951247166,0.945849595,1.085814404,0.97696732,0.983856614,0.922716628,1.010025063,0.966666667,1.022024955,0.953965532,0.997481108,0.982601491,0.96347032,0.971428571,,
03/07/2004,1.026271732,0.96941562,0.826666667,1.032204789,1.094458687,0.996779388,1.018498368,0.976047904,1.014452607,1.004437449,1.028470648,1.011015912,1.157704969,1.044972117,1.054233805,0.998203593,1.054441261,1.071672355,1.073006135,1.154083205,1.106413994,1.123076923,1.012711864,0.983640082,1.071135431,1.03628447,1.057806913,1.001745685,1.020965416,1.032869811,1.01381729,1.050761421,1.094292804,1.022167488,1,1.013160701,1.01010101,0.97301855,0.971563981,1.129411765,,
03/08/2004,0.982431924,1.194647887,0.834677419,0.947771429,1.006666667,1.012189749,0.922008547,0.872946764,1.018758162,0.989616176,0.987506124,1.073849879,1.134190928,1.076088828,0.901070827,1.033593281,1.089673913,0.99044586,0.968553459,1.293724967,1.001317523,1.123287671,0.991283124,1.083160083,0.965517241,1.033613445,0.883380282,0.998257357,0.987361849,0.985966591,0.957411818,0.922705314,0.990929705,1.019277108,1.017249618,1.004329916,1.015,1.029462738,0.946341463,0.966145833,,
03/09/2004,1.040286116,0.976184862,1.048309179,1.012178946,1.126006802,0.995066744,1.083429896,1.031285423,1.016431651,1.023522903,1.023567353,1.05270575,0.969436485,1.020796673,0.982432246,1.017991875,1.06234414,1,0.989374262,1.021671827,1.056578947,0.951219512,1.048813851,0.97168906,0.970899471,0.937669377,1.045918367,1.015611982,0.942403206,0.991760062,0.954624968,1.005235602,0.963386728,0.985815603,1.033895807,1.159486243,1.02955665,1.024410774,0.994845361,0.74393531,,
03/10/2004,1.024998772,1.135507246,0.815668203,0.949368597,1.097599746,1.087197434,0.986096257,0.88612882,1.012611786,1.05000932,1.021085797,0.998661312,1.145566502,1.026014731,1.03173618,0.998859749,1.138497653,1.135048232,1.010739857,0.97979798,1.070983811,0.983974359,1.075346549,1.066666667,1.008174387,0.99132948,1.01804878,1.030743989,0.950760724,0.976587021,1.026094708,0.984375,1,0.983213429,1.016392274,0.99256352,0.995215311,1.161873459,1,0.992753623,,
03/11/2004,1.01538093,0.974260796,0.960451977,0.944786046,1.430412744,1.002682403,1.030368764,1.01339618,1.033514493,1.072195693,1.033705198,1.076407507,1.000215008,1.056819918,1.11092034,0.990296804,1.01443299,1.062322946,1.003541913,1.003092784,1.122093023,0.993485342,1.008628457,0.987037037,1.002702703,0.963556851,1.031384763,0.98758788,1.067855129,1.003865175,1.004541194,0.970899471,0.959619952,0.963414634,1.036287778,1,1.019230769,1.09476662,0.880829016,1.032846715,,
03/12/2004,1.062125431,0.833842795,1.105882353,1.076902643,1.133238838,1.059925094,1.147368421,0.996572827,1.014899211,1.059056291,0.99793341,1.04732254,1.114359415,1.065760948,1.067472756,1.028818444,1.101626016,1.208,1.076470588,1.194244604,1.116062176,1.032786885,1.064348782,0.962476548,1.094339623,0.968835098,1.108013937,1.040256351,1.059088051,1.016181394,0.967452416,1.032697548,0.965346535,1,1.038916331,1.11235692,1.028301887,0.975452196,0.964705882,1.06360424,,
03/01/2005,0.973231145,1.005498822,0.984042553,1.016280217,1.009738229,1.057546694,1.069724771,1.020388111,1.003022453,1.037519346,0.983893235,1.028061831,0.973186728,0.980743152,1.017536779,1.00952381,1.079335793,1.028697572,1.079234973,0.974182444,1.021355617,1.155555556,1.037056165,0.990253411,1,1.054028732,1.019916143,1.012911794,1.012631496,1.034874519,1.057941708,1.044854881,1.069230769,1.032911392,0.992509912,1.043780257,0.995412844,1.00794702,0.969512195,0.903654485,,
03/02/2005,0.951380963,1.129947917,0.962162162,1.011407767,1.22942842,0.935799523,0.917667238,1.004814636,0.998708567,0.987945816,1.028999065,1.047883414,1.1296333,1.01147677,1.034112454,1.013873474,1.003418803,1.025751073,1.042531646,1.083038869,0.990909091,1.10989011,0.982912102,1.051181102,1.002463054,0.968296296,0.943987667,0.950941472,1.073283659,0.96556733,0.964665336,0.972222222,0.973621103,1.017156863,0.96603204,0.906455154,0.967741935,1.053219448,1.094339623,0.952205882,,
03/03/2005,1.03346929,1.226780364,1.084269663,1.018718503,1.074127384,0.976791635,1.010280374,1.034499281,0.998491379,1.076501899,1.029545455,1.004635762,1.063344446,1.077101846,0.992011852,0.974274767,1.097103918,1.060669456,1.05488101,1.175367047,0.950458716,1.012376238,0.968365053,1.065543071,1.017199017,1.014381885,1.040827436,1.019762543,1.071671176,1.036417163,1.029304774,1.038961039,1.007389163,1.024096386,1.007811969,1.01423769,1.014285714,0.991266376,1.011494253,1.019305019,,
